ID,Title,IsDairyFree,Ready_In_Minutes,Source_URL,cleaned_instructions,total_steps,cleaned_ingredients,total_ingredients,equipment_detected,equipment_complexity,zscore_steps,zscore_ingredients,zscore_equipment,zscore_ready_in_minutes,complexity_score,ingredients_wo_measure,cluster_id,cuisine,recipe_text,complexity_normalized
715415,Red Lentil Soup with Chicken and Turnips,TRUE,55,https://www.pinkwhen.com/red-lentil-soup-with-chicken-and-turnips/,"large dutch oven soup pot, heat olive oil medium heat. add onion, carrots celery cook 810 minutes tender, stirring occasionally. add garlic cook additional 2 minutes, fragrant. season conservatively pinch salt black pepper.to pot, add tomatoes, turnip red lentils. stir combine. stir vegetable stock increase heat stove high. bring soup boil reduce simmer. simmer 20 minutes turnips tender lentils cooked through. add chicken breast parsley. cook additional 5 minutes. adjust seasoning taste. serve soup immediately garnished fresh parsley additional toppings. enjoy",13,"8.0 servings additional toppings: avocado, 3.0 medium carrots, 3.0 celery stalks, 2.0 cups chicken breast, 0.5 cup flat leaf parsley, 6.0 cloves garlic, 2.0 tablespoons olive oil, 28.0 ounce canned tomatoes, 2.0 cups lentils, 8.0 servings salt pepper, 1.0 large turnip, 8.0 cups vegetable stock, 1.0 medium onion",13,"['oven', 'pot', 'dutch oven']",3,0.020025583,0.508695441,0.957709977,0.0136456,0.398426874,"["" additional toppings: avocado"", "" carrots"", ""celery stalks"", "" chicken breast"", "" flat leaf parsley"", ""cloves garlic"", "" olive oil"", "" canned tomatoes"", "" lentils"", ""  "", "" turnip"", "" vegetable stock"", "" onion""]",4,European Comfort Foods,"Red Lentil Soup with Chicken and Turnips 8.0 servings additional toppings: avocado, 3.0 medium carrots, 3.0 celery stalks, 2.0 cups chicken breast, 0.5 cup flat leaf parsley, 6.0 cloves garlic, 2.0 tablespoons olive oil, 28.0 ounce canned tomatoes, 2.0 cups lentils, 8.0 servings salt pepper, 1.0 large turnip, 8.0 cups vegetable stock, 1.0 medium onion",4
716406,Asparagus and Pea Soup: Real Convenience Food,TRUE,20,https://fullbellysisters.blogspot.com/2011/03/asparagus-and-pea-soup-real-convenience.html,"chop garlic onions , saute onions evoo, adding garlic couple minutes cook onions translucent , add whole bag asparagus cover everything broth season salt pepper pinch red pepper flakes, using simmer asparagus bright green tender youve thawed asparagus take couple minutes turn heat puree using immersion blender , add peas heat soup quickly thaw puree smooth add reaches thickness like top chives small dollop creme fraiche sour cream greek yogurt ",14,"1.0 bag asparagus, 1.0 evoo, 2.0 cloves garlic, 0.5 onion, 2.0 c peas, 1.0 box vegetable broth",6,['blender'],1,0.116259637,-1.207266059,-0.595575892,-0.549700604,-0.428592185,"[""bag asparagus"", ""evoo"", ""cloves garlic"", ""onion"", ""c peas"", ""box vegetable broth""]",4,European Comfort Foods,"Asparagus and Pea Soup: Real Convenience Food 1.0 bag asparagus, 1.0 evoo, 2.0 cloves garlic, 0.5 onion, 2.0 c peas, 1.0 box vegetable broth",2
644387,Garlicky Kale,TRUE,45,https://www.foodista.com/recipe/J2FTJBF7/garlicky-kale,"heat olive oil large pot medium heat. add kale cover.stir occasionally volume kale reduced half. uncover. add garlic basalmic.allow cook another 30 seconds so, mixing well garlic vinegar well distributed. serve hot.",7,"3.0 tablespoons balsamic vinegar, 1.0 clove garlic, 1.0 bunch curly kale, 2.0 servings olive oil",4,['pot'],1,-0.55737874,-1.697540774,-0.595575892,-0.147310458,-0.755863464,"["" balsamic vinegar"", ""clove garlic"", ""bunch curly kale"", "" olive oil""]",2,Italian/Mediterranean,"Garlicky Kale 3.0 tablespoons balsamic vinegar, 1.0 clove garlic, 1.0 bunch curly kale, 2.0 servings olive oil",1
715446,Slow Cooker Beef Stew,TRUE,490,https://www.pinkwhen.com/slow-cooker-beef-stew-recipe/,"get started, heat slow cooker low , pour cream mushroom soup, dales seasoning, water, beef broth stir mixed well , add stew meat, potatoes, onions, carrots, celery, green onions stir well covered cook low 8 hours add salt pepper desired, flavors dales marry together well probably wonu2019t need ",18,"14.5 oz beef broth, 2.0 large carrots, 2.0 stalks celery, 26.0 oz cream mushroom soup, 3.0 green onions, 10.0 new potatoes, 1.0 small onion, 0.5 cup dale's seasoning, 2.0 pounds stew meat, 2.0 cups water",10,['slow cooker'],1,0.501195853,-0.226716631,-0.595575892,7.015234134,0.677985661,"["" beef broth"", "" carrots"", ""stalks celery"", "" cream mushroom soup"", ""green onions"", ""new potatoes"", "" onion"", "" dale's seasoning"", "" stew meat"", "" ""]",4,European Comfort Foods,"Slow Cooker Beef Stew 14.5 oz beef broth, 2.0 large carrots, 2.0 stalks celery, 26.0 oz cream mushroom soup, 3.0 green onions, 10.0 new potatoes, 1.0 small onion, 0.5 cup dale's seasoning, 2.0 pounds stew meat, 2.0 cups water",5
782601,Red Kidney Bean Jambalaya,TRUE,45,https://www.foodandspice.com/2016/05/red-kidney-bean-jambalaya.html,"rinse kidney beans brown rice separately. cover kidney beans water soak 8 hours overnight. separate bowl, cover brown rice water soak 8 hours overnight. drain rinse kidney beans, transfer medium saucepan cover fresh water. bring boil, reduce heat mediumlow, cover, simmer 1 hour tender falling apart. drain set aside. heat oil large saucepan medium heat. hot, add onion saut 5 minutes. add garlic, carrots, celery green beans, stir another 5 minutes. next add tomatoes, red pepper, eggplant, sage, thyme, marjoram celery seed, continue stir another minutes. pour vegetable stock, liquid smoke, rice cooked kidney beans. bring boil, reduce heat medium low, cover, cook, stirring occasionally, 45 minutes rice tender. add water necessary stew becomes dry.season sriracha, salt pepper, taste seasoning add liquid smoke, sriracha, salt, pepper herbs desired.",14,"2.0 cups brown rice, 2.0 medium carrots, 2.0 stalks celery, 1.0 teaspoon celery seed, 2.0 cups kidney beans, 1.0 teaspoon marjoram, 2.0 teaspoons thyme, 1.0 medium eggplant, 2.0 cloves garlic, 3.0 handfuls green beans, 6.0 servings ground pepper, 2.0 teaspoons ground sage, 0.5 teaspoon liquid smoke, 2.0 tablespoons olive oil, 1.0 bell pepper, 1.0 small onion, 1.5 teaspoons sea salt, 1.0 teaspoon sriracha, 2.0 medium tomatoes, 3.0 cups vegetable stock",20,['saucepan'],1,0.116259637,2.224656941,-0.595575892,-0.147310458,0.29803143,"["" brown rice"", "" carrots"", ""stalks celery"", "" celery seed"", "" kidney beans"", "" marjoram"", "" thyme"", "" eggplant"", ""cloves garlic"", "" green beans"", "" ground "", "" ground sage"", "" liquid smoke"", "" olive oil"", ""bell "", "" onion"", "" sea "", "" sriracha"", "" tomatoes"", "" vegetable stock""]",1,Tex-Mex and Southwestern,"Red Kidney Bean Jambalaya 2.0 cups brown rice, 2.0 medium carrots, 2.0 stalks celery, 1.0 teaspoon celery seed, 2.0 cups kidney beans, 1.0 teaspoon marjoram, 2.0 teaspoons thyme, 1.0 medium eggplant, 2.0 cloves garlic, 3.0 handfuls green beans, 6.0 servings ground pepper, 2.0 teaspoons ground sage, 0.5 teaspoon liquid smoke, 2.0 tablespoons olive oil, 1.0 bell pepper, 1.0 small onion, 1.5 teaspoons sea salt, 1.0 teaspoon sriracha, 2.0 medium tomatoes, 3.0 cups vegetable stock",4
716426,"Cauliflower, Brown Rice, and Vegetable Fried Rice",TRUE,30,https://fullbellysisters.blogspot.com/2012/01/cauliflower-fried-rice-more-veggies.html,"remove cauliflowers tough stem reserve another use using food processor, pulse cauliflower florets resemble rice couscous end around four cups cauliflower rice , heat 1t butter 1t oil large skillet medium heat , add garlic white light green pieces scallion sautu00e9 minute , add cauliflower pan stir coat oil, spread pan let sit want cook bit caramelize get bit brown, bring sweetness couple minutes, stir spread , add cold rice separates easily, wont clump cooking, plus additional grapeseed coconut oil butter raise heat mediumhigh toss everything together and, again, spread mixture whole pan press bit bottom , let sit two minutesu2014so rice get toasted little crispy , add peas broccoli stir , drizzle soy sauce toasted sesame oil rice cook another minute turn heat , add chopped scallion tops toss like toast sesame seeds dry pan sprinkle raw, chopped scallion top rice added flavor crunch season taste salt and, youd like, soy sauce keep mind youre serving something salty saucy ie teriyaki chicken may want hold adding much salt fried rice ",41,"2.0 tablespoons grapeseed oil, 2.0 tablespoons coconut oil, 7.0 scallions, 5.0 cloves garlic, 1.0 head cauliflower, 3.0 cups brown rice, 2.0 cups broccoli, 1.0 cup peas, 3.0 soy sauce, 2.0 teaspoons sesame oil, 8.0 servings sesame seeds, 8.0 servings additional scallion tops, 8.0 servings salt",13,"['pan', 'food processor', 'skillet']",3,2.714579092,0.508695441,0.957709977,-0.388744545,1.436009263,"["" grapeseed oil"", "" coconut oil"", ""scallions"", ""cloves garlic"", ""head cauliflower"", "" brown rice"", "" broccoli"", "" peas"", ""soy sauce"", "" sesame oil"", "" sesame seeds"", "" additional scallion tops"", "" ""]",0,Asian,"Cauliflower, Brown Rice, and Vegetable Fried Rice 2.0 tablespoons grapeseed oil, 2.0 tablespoons coconut oil, 7.0 scallions, 5.0 cloves garlic, 1.0 head cauliflower, 3.0 cups brown rice, 2.0 cups broccoli, 1.0 cup peas, 3.0 soy sauce, 2.0 teaspoons sesame oil, 8.0 servings sesame seeds, 8.0 servings additional scallion tops, 8.0 servings salt",6
716004,Quinoa and Chickpea Salad with Sun-Dried Tomatoes and Dried Cherries,TRUE,45,https://www.foodandspice.com/2016/01/quinoa-and-chickpea-salad-with-sun.html,"rinse quinoa soak 8 hours overnight 2 cups water. rinse chickpeas soak 8 hours overnight several inches water.rinse chickpeas transfer small saucepan. cover fresh water bring boil. reduce heat mediumlow, cover, simmer 1 hour buttery soft.while chickpeas cooking, soak sundried tomatoes hot water 30 minutes, drain chop. meanwhile, bring quinoa boil medium saucepan. reduce heat lowest setting, cover, simmer 15 minutes water absorbed. remove heat wait 5 minutes fluffing fork.meanwhile, toast cashews dry unoiled skillet saucepan mediumlow heat, tossing stirring frequently, 10 minutes browned. transfer chickpeas, quinoa, sundried tomatoes, cashews dried cherries large mixing bowl. whisk dressing ingredients together pour salad. stir combine serve room temperature chilled.",13,"0.33333334 cup cashews, 0.33333334 cup dried cherries, 1.5 cups dried chickpeas, 0.5 teaspoon dried thyme, 0.5 teaspoon ground cumin, 1.5 tablespoons honey, 1.0 juice orange, 2.0 tablespoons olive oil, 2.0 cups quinoa, 2.0 teaspoons red wine vinegar, 6.0 servings sea-salt, 0.5 cup sun-dried tomatoes, 0.5 teaspoon turmeric",13,"['saucepan', 'skillet', 'whisk', 'mixing bowl']",4,0.020025583,0.508695441,1.734352911,-0.147310458,0.615324149,"["" cashews"", "" dried cherries"", "" dried chickpeas"", "" dried thyme"", "" ground cumin"", "" honey"", ""juice orange"", "" olive oil"", "" quinoa"", "" red wine vinegar"", "" sea-"", "" sun-dried tomatoes"", "" turmeric""]",2,Italian/Mediterranean,"Quinoa and Chickpea Salad with Sun-Dried Tomatoes and Dried Cherries 0.33333334 cup cashews, 0.33333334 cup dried cherries, 1.5 cups dried chickpeas, 0.5 teaspoon dried thyme, 0.5 teaspoon ground cumin, 1.5 tablespoons honey, 1.0 juice orange, 2.0 tablespoons olive oil, 2.0 cups quinoa, 2.0 teaspoons red wine vinegar, 6.0 servings sea-salt, 0.5 cup sun-dried tomatoes, 0.5 teaspoon turmeric",4
716627,Easy Homemade Rice and Beans,TRUE,35,http://cooking2perfection.blogspot.com/2012/11/easy-homemade-rice-and-beans.html,"heat olive oil large pot medium heat. add onions saute soft, 5 minutes. add remaining ingredients stir together. increase heat medium high bring boil. cover reduce heat medium low mixture simmers. cook 1520 minutes, rice fluffy liquid absorbed. serve salsa, cheese, sour cream.",7,"15.0 ounce black beans, 10.0 ounce canned tomatoes, 2.0 tsp chili powder, 0.5 tsp cumin, 0.25 tsp ground pepper, 4.0 dashes optional: hot sauce, 1.0 tsp olive oil, 0.25 cup onion, 0.5 cup rice, 3.0 tbsp water",10,['pot'],1,-0.55737874,-0.226716631,-0.595575892,-0.308266516,-0.477794241,"["" black beans"", "" canned tomatoes"", "" chili powder"", "" cumin"", "" ground "", ""dashes optional: hot sauce"", "" olive oil"", "" onion"", "" rice"", "" ""]",1,Tex-Mex and Southwestern,"Easy Homemade Rice and Beans 15.0 ounce black beans, 10.0 ounce canned tomatoes, 2.0 tsp chili powder, 0.5 tsp cumin, 0.25 tsp ground pepper, 4.0 dashes optional: hot sauce, 1.0 tsp olive oil, 0.25 cup onion, 0.5 cup rice, 3.0 tbsp water",2
664147,Tuscan White Bean Soup with Olive Oil and Rosemary,TRUE,45,https://www.foodista.com/recipe/HPKTNKY5/tuscan-white-bean-soup-with-olive-oil-and-rosemary,"rinse beans thoroughly place 7quart slow cooker along water, onion, garlic, bay leaf. cover cook low 8 hours, beans nice tender. remove bay leaf. using handheld immersion blender, puree remaining ingredients desired texture. add salt taste.ladle soup bowls. drizzle olive oil, sprinkle rosemary, serve.",7,"1.0 bay leaf, 1.0 tablespoon rosemary, 6.0 cloves garlic, 1.0 teaspoon olive oil, 1.0 medium onion, 6.0 servings salt, 2.0 tablespoons water, 2.0 cups beans",8,"['blender', 'slow cooker']",2,-0.55737874,-0.716991345,0.181067042,-0.147310458,-0.326760698,"[""bay leaf"", "" rosemary"", ""cloves garlic"", "" olive oil"", "" onion"", "" "", "" "", "" beans""]",4,European Comfort Foods,"Tuscan White Bean Soup with Olive Oil and Rosemary 1.0 bay leaf, 1.0 tablespoon rosemary, 6.0 cloves garlic, 1.0 teaspoon olive oil, 1.0 medium onion, 6.0 servings salt, 2.0 tablespoons water, 2.0 cups beans",2
640941,Crunchy Brussels Sprouts Side Dish,TRUE,30,https://www.foodista.com/recipe/LKJMG5RP/crunchy-brussels-sprouts,"blanch brussels sprouts boiling water 68 minutes microwave oven little water 4 minutes. drain. saute brussels sprouts, stirring constantly, become goldenbrown color.meanwhile mix vinegar, mustard, honey olive oil. add walnuts sprouts, stir combine. pour vinegar dressing sprouts, season pepper. mix combine sprout covered dressing. serve warm cold side dish.",8,"0.25 tsp pepper, 800.0 g brussels sprouts, 1.0 tsp dijon mustard, 0.5 tsp honey, 3.0 tbs olive oil, 2.0 tbs red wine vinegar, 0.25 cup walnuts",7,"['oven', 'microwave']",2,-0.461144686,-0.962128702,0.181067042,-0.388744545,-0.361437957,"["" "", "" brussels sprouts"", "" dijon mustard"", "" honey"", "" olive oil"", "" red wine vinegar"", "" walnuts""]",6,Indian and Global Fusion,"Crunchy Brussels Sprouts Side Dish 0.25 tsp pepper, 800.0 g brussels sprouts, 1.0 tsp dijon mustard, 0.5 tsp honey, 3.0 tbs olive oil, 2.0 tbs red wine vinegar, 0.25 cup walnuts",2
